test_id;filename;direccion_defecto;num_edificios;mediador;tomador;nombre_tomador;primer_apellido_tomador;segundo_apellido_tomador;modalidad;num_plantas_alto;num_cotizacion;num_viviendas;num_locales;cambio_num_edificios;cambio_num_viviendas;cambio_num_locales;acceso;cambio_acceso;usuario;cambio_usuario;medio_pago;cambio_medio_pago;cob_opc_tipo_maquinaria;cob_opc_valor_maquinaria;cob_inst_energia_solar;cob_inst_energia_solar_valor;num_plantas_sotano;poliza;m2_vivienda;m2_ajardinadas;m2_oficinas;m2_garajes;franquicia_voluntaria;construccion_edificio;clausula;fecha_nacimiento;iban;nivel_rehab_aguas_comun;ref_catastral
Mec12a;;direccion por defecto;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;mcena;mcena;el cobro bancario;el cobro bancario;;;;;;;;;;;;;;18-01-79;ES0321001234561234567890;;
Mec13a;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;21;;;;;;;Innova;;mcena;;;;;;;;;;;;;;;;;19-01-79;ES0321001234561234567890;;3342605YJ2734A
Mec14a;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;mcena;mcena;el cobro bancario;el cobro bancario;;;;;;;;;;;;;;20-01-79;ES0321001234561234567890;;3546204YJ2734F
Mec20;;;;;;;;;;;18581;;;;;;Innova;;solmo;;;;;;;;;;;;;;;;;21-01-79;ES0321001234561234567890;;
Mec16;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;mcena;solmo;el cobro bancario;el mediador;;;;;;;;;;;;;;22-01-79;ES0321001234561234567890;;8752609YJ1885S0001JP       
Mec19;;;1;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;2;;;Innova;Innova;mcena;solmo;el cobro bancario;el mediador;;;;;;;;;;;;;;23-01-79;ES0321001234561234567890;;7753501YJ1875S0001WY       
Mec20;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;3;;2;3;;Innova;Innova;mcena;solmo;el cobro bancario;el mediador;;;;;;;;;;;;;;24-01-79;ES0321001234561234567890;;8752609YJ1885S0001JP       
Mec21;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;2;;;3;Innova;Innova;mcena;solmo;el cobro bancario;el mediador;;;;;;;;;;;;;;25-01-79;ES0321001234561234567890;;2869504YJ2726N
Mec23;;;2;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;2;;3;3;;Innova;Innova;mcena;solmo;el cobro bancario;el mediador;;;;;;;;;;;;;;26-01-79;ES0321001234561234567890;;2869505YJ2726N
Mec24;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;2;3;;3;Innova;Innova;mcena;solmo;el cobro bancario;el mediador;;;;;;;;;;;;;;27-01-79;ES0321001234561234567890;;2869506YJ2726N
Mec25;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;2;2;3;3;3;Innova;Innova;mcena;solmo;el cobro bancario;el mediador;;;;;;;;;;;;;;28-01-79;ES0321001234561234567890;;2869507YJ2726N
Mec36;;direccion por defecto;2;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;plus;;;;;;;;Innova;Innova;mcena;solmo;el mediador;el mediador;Maquinaria ascensor;1000;una placa solar;100;;;200;200;200;200;150 €;;103;29-01-79;ES0321001234561234567890;;9240103YJ3993G0001BU
Mec15;;;;;;;;;;;18581;;;;;;Innova;;mcena;;;;;;;;;;;;;;;;;30-01-79;ES0321001234561234567890;;
Mec35;;direccion por defecto;2;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;plus;20;;3;2;2;2;;Innova;Innova;mcena;solmo;el mediador;el mediador;Maquinaria ascensor;1000;una placa solar;100;17;510001927;200;200;200;200;150 €;;103;01-02-79;ES0321001234561234567890;;9240231YJ3994A0004FL
Mec38;;;2;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;plus;20;;3;2;2;2;;Innova;Innova;mcena;solmo;el mediador;el mediador;Maquinaria ascensor;1000;una placa solar;100;17;510001927;200;200;200;200;150 €;;103;04-02-79;ES0321001234561234567890;;9240106YJ3994A0001QH
Mec47;;;;;;;;;;;22911;;;;;;Innova;;solmo;;;;;;;;;;;;;;;;;05-02-79;ES0321001234561234567890;;
MecConPer01;;;;640;;;;;;;;;;;;;Innova;;mcena;;;;;;;;10;;;;;;;;;07-02-79;ES0321001234561234567890;;2869518YJ2726N0001TW
MecConPer02;;;;640;;;;;;;;;;;;;Innova;;mcena;;;;;;;;;;;;;;;1950;;08-02-79;ES0321001234561234567890;;2263102YJ2726S0001TP
MecConPer04;;;;640;;;;;;;;;;;;;Innova;;mcena;;;;;;;;;;;;;;;;;09-02-79;ES0321001234561234567890;;2869518YJ2726N0001TW
MecMotSupGen20;;;;;;;;;completa;;;;;;;;Innova;;mcena;;;;;;;;;510001927;;;;;;;;;;Rehabilitado en su totalidad;2869506YJ2726N0001HW
MecParRetSim23;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;;;;;;;;;Innova;;ehuguet;;;;;;;;11;;;;;;;;;11-02-79;ES0321001234561234567890;;2869506YJ2726N0001HW
MecParRetPro23;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;;;;;;;;;Innova;;ehuguet;;;;;;;;11;;;;;;;;;12-02-79;ES0321001234561234567890;;2870505YJ2727S0001BR
MecParRetPro28;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;;;;;;;;;Innova;;ehuguet;;;;;;;;;;;;;;;;;13-02-79;ES0321001234561234567890;;2870505YJ2727S0001BR
Mec94;;;;640;Cif_en_tramite;;;;;;;;;;;;Innova;;ehuguet;;;;;;;;;;;;;;;;;14-02-79;ES0321001234561234567890;;2870505YJ2727S0001BR
Mec95;;;;640;Cif_en_tramite;;;;;;;;;;;;Innova;;ehuguet;;;;;;;;;;;;;;;2003;;15-02-79;ES0321001234561234567890;;2870505YJ2727S0001BR
Mec100;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;;;;;;;;;Innova;;ehuguet;;;;;;;;;;;;;;;;;16-02-79;ES0321001234561234567890;;2870505YJ2727S0001BR
Mec101;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;200;200;200;200;;;;17-02-79;ES0321001234561234567890;;2871801YJ2727S0001QR
Mec101a;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;2003;;18-02-79;ES0321001234561234567890;;2970305YJ2727S0001RR
Mec101b;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;2003;;19-02-79;ES0321001234561234567890;;8842805YJ3984B0010ZR
Mec102;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;plus;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;;;20-02-79;ES0321001234561234567890;;8842805YJ3984B0010ZR
Mec103;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;;;21-02-79;ES0321001234561234567890;;2970306YJ2727S0001DR
Mec104;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;;;22-02-79;ES0321001234561234567890;;2970307YJ2727S0001XR
Mec105;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;;;23-02-79;ES0321001234561234567890;;2970308YJ2727S0001IR
Mec106a;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;basic;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;;;24-02-79;ES0321001234561234567890;;9240222YJ3994A0001EH
Mec106b;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;plus;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;;;25-02-79;ES0321001234561234567890;;2871805YJ2727S0001FR
Mec107;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;150 €;;;26-02-79;ES0321001234561234567890;;2871805YJ2727S0001FR
Mec108;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;2003;;27-02-79;ES0321001234561234567890;;2871805YJ2727S0001FR
Mec110;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;Maquinaria ascensor;1000;;;;;;;;;;;;28-02-79;ES0321001234561234567890;;9240219YJ3994A0009AQ
Mec111;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;;;;;;;;;;;;01-03-79;ES0321001234561234567890;;9141029YJ3994A0001WH
Mec112;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el mediador;el mediador;;;una placa solar;100;;;;;;;;;;02-03-79;ES0321001234561234567890;;9141028YJ3994A0008MM
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9041003YJ3994A0002GJ
